Date,Open,High,Low,Close,Adj Close,Volume
1980-07-02,6.625,6.71875,6.625,6.65625,2.369870185852051,1012000
1980-07-03,6.65625,6.671875,6.59375,6.609375,2.353178024291992,983200
1980-07-07,6.609375,6.640625,6.59375,6.59375,2.3476178646087646,493600
1980-07-08,6.59375,6.6875,6.59375,6.625,2.3587419986724854,1098400
1980-07-09,6.625,6.78125,6.625,6.71875,2.3921210765838623,884000
1980-07-10,6.71875,6.75,6.6875,6.6875,2.3809962272644043,556000
1980-07-11,6.6875,6.75,6.65625,6.734375,2.397686004638672,384800
1980-07-14,6.734375,6.859375,6.734375,6.828125,2.431063413619995,793600
1980-07-15,6.828125,6.875,6.8125,6.84375,2.4366273880004883,853600
1980-07-16,6.84375,6.859375,6.796875,6.859375,2.4421887397766113,665600
1980-07-17,6.859375,7.046875,6.859375,7.046875,2.508946657180786,872000
1980-07-18,7.109375,7.171875,7.109375,7.171875,2.553450345993042,1133600
1980-07-21,7.171875,7.25,7.15625,7.21875,2.5701422691345215,1199200
1980-07-22,7.21875,7.328125,7.203125,7.28125,2.592392921447754,700800
1980-07-23,7.28125,7.296875,7.265625,7.28125,2.592392921447754,458400
1980-07-24,7.25,7.25,7.09375,7.109375,2.5311989784240723,800800
1980-07-25,7.078125,7.078125,7.015625,7.03125,2.503385305404663,236000
1980-07-28,7.046875,7.125,7.046875,7.125,2.536760091781616,572800
1980-07-29,7.140625,7.21875,7.140625,7.203125,2.5645761489868164,400000
1980-07-30,7.265625,7.34375,7.265625,7.265625,2.586829662322998,359200
1980-07-31,7.265625,7.375,7.234375,7.375,2.6257710456848145,478400
1980-08-01,7.3125,7.3125,7.234375,7.234375,2.5757038593292236,1004800
1980-08-04,7.234375,7.28125,7.125,7.28125,2.592392921447754,324800
1980-08-05,7.28125,7.3125,7.25,7.265625,2.586829662322998,298400
1980-08-06,7.265625,7.265625,7.1875,7.203125,2.5645761489868164,632800
1980-08-07,7.203125,7.234375,7.171875,7.234375,2.5757038593292236,488000
1980-08-08,7.234375,7.265625,7.203125,7.21875,2.5701422691345215,468000
1980-08-11,7.21875,7.265625,7.21875,7.234375,2.5757038593292236,589600
1980-08-12,7.234375,7.265625,7.171875,7.171875,2.553450345993042,590400
1980-08-13,7.171875,7.21875,7.140625,7.15625,2.547887086868286,444000
1980-08-14,7.171875,7.3125,7.171875,7.3125,2.6035170555114746,464000
1980-08-15,7.3125,7.421875,7.28125,7.390625,2.631333112716675,530400
1980-08-18,7.375,7.375,7.28125,7.3125,2.6035170555114746,358400
1980-08-19,7.25,7.25,7.203125,7.21875,2.5701422691345215,579200
1980-08-20,7.21875,7.234375,7.1875,7.1875,2.559014081954956,486400
1980-08-21,7.1875,7.1875,7.015625,7.109375,2.5311989784240723,2728000
1980-08-22,7.109375,7.15625,7.046875,7.078125,2.5200726985931396,1069600
1980-08-25,7.046875,7.046875,6.953125,6.96875,2.481131076812744,808800
1980-08-26,6.96875,6.96875,6.796875,6.859375,2.4421887397766113,456000
1980-08-27,6.828125,6.828125,6.71875,6.765625,2.4088096618652344,1464000
1980-08-28,6.765625,6.765625,6.625,6.625,2.3587419986724854,647200
1980-08-29,6.625,6.6875,6.59375,6.625,2.3587419986724854,708000
1980-09-02,6.625,6.640625,6.5625,6.609375,2.353178024291992,1053600
1980-09-03,6.625,6.703125,6.625,6.703125,2.386559009552002,1076000
1980-09-04,6.703125,6.796875,6.671875,6.703125,2.386559009552002,1132000
1980-09-05,6.6875,6.6875,6.609375,6.609375,2.353178024291992,440000
1980-09-08,6.609375,6.625,6.5625,6.578125,2.342054605484009,507200
1980-09-09,6.578125,6.6875,6.515625,6.6875,2.3809962272644043,954400
1980-09-10,6.671875,6.671875,6.546875,6.59375,2.3476178646087646,679200
1980-09-11,6.59375,6.671875,6.59375,6.640625,2.3643054962158203,479200
1980-09-12,6.65625,6.734375,6.65625,6.703125,2.386559009552002,391200
1980-09-15,6.703125,6.78125,6.65625,6.78125,2.414375066757202,388800
1980-09-16,6.78125,6.984375,6.765625,6.90625,2.4588797092437744,860800
1980-09-17,6.953125,7.03125,6.953125,7.015625,2.4978206157684326,479200
1980-09-18,7.015625,7.09375,7.015625,7.078125,2.5200726985931396,521600
1980-09-19,7.109375,7.21875,7.109375,7.21875,2.5701422691345215,852800
1980-09-22,7.21875,7.28125,7.1875,7.25,2.581266403198242,564800
1980-09-23,7.25,7.3125,7.140625,7.140625,2.5423240661621094,616800
1980-09-24,7.140625,7.203125,7.078125,7.09375,2.525636911392212,828800
1980-09-25,7.09375,7.109375,7.03125,7.046875,2.508946657180786,1563200
1980-09-26,6.96875,6.96875,6.859375,6.953125,2.4755687713623047,1299200
1980-09-29,6.90625,6.90625,6.84375,6.890625,2.453315258026123,334400
1980-09-30,6.890625,7.0,6.875,6.984375,2.486694097518921,417600
1980-10-01,6.984375,7.0625,6.984375,7.0625,2.514509677886963,565600
1980-10-02,7.0625,7.1875,7.046875,7.1875,2.559014081954956,684800
1980-10-03,7.1875,7.25,7.15625,7.234375,2.5757038593292236,454400
1980-10-06,7.234375,7.296875,7.125,7.296875,2.5979561805725098,345600
1980-10-07,7.296875,7.359375,7.25,7.328125,2.609081506729126,599200
1980-10-08,7.328125,7.453125,7.265625,7.390625,2.631333112716675,981600
1980-10-09,7.390625,7.53125,7.28125,7.484375,2.664712905883789,1123200
1980-10-10,7.484375,7.484375,7.40625,7.40625,2.636897563934326,516000
1980-10-13,7.40625,7.453125,7.375,7.453125,2.6535868644714355,464800
1980-10-14,7.40625,7.40625,7.296875,7.296875,2.5979561805725098,436800
1980-10-15,7.296875,7.34375,7.265625,7.3125,2.6035170555114746,759200
1980-10-16,7.3125,7.390625,7.234375,7.234375,2.5757038593292236,581600
1980-10-17,7.234375,7.234375,7.09375,7.125,2.536760091781616,765600
1980-10-20,7.125,7.1875,7.078125,7.1875,2.559014081954956,262400
1980-10-21,7.1875,7.1875,7.046875,7.109375,2.5311989784240723,1087200
1980-10-22,7.109375,7.109375,7.03125,7.046875,2.508946657180786,900000
1980-10-23,7.046875,7.046875,6.921875,6.984375,2.486694097518921,606400
1980-10-24,6.984375,7.03125,6.921875,7.0,2.4922568798065186,316800
1980-10-27,7.0,7.046875,6.984375,7.015625,2.4978206157684326,360800
1980-10-28,7.015625,7.109375,7.015625,7.078125,2.5200726985931396,488800
1980-10-29,7.078125,7.21875,7.078125,7.171875,2.553450345993042,408800
1980-10-30,7.140625,7.140625,7.046875,7.078125,2.5200726985931396,368000
